Country,mostpopularsport,timeshostedwc,Latitude (average),Longitude (average)
Afghanistan,Football (soccer),,33,65
Albania,Football (soccer),,41,20
Algeria,Football (soccer),,28,3
American Samoa,Football (soccer),,-14.3333,-170
Andorra,Football (soccer),,42.5,1.6
Angola,Football (soccer),,-12.5,18.5
Anguilla,Football (soccer),,18.25,-63.1667
Antigua and Barbuda,Cricket,,17.05,-61.8
Argentina,Football (soccer),1,-34,-64
Armenia,Football (soccer),,40,45
Australia,Cricket,,-27,133
Austria,Football (soccer),,47.3333,13.3333
Azerbaijan,Football (soccer),,40.5,47.5
Bahamas,Basketball,,24.25,-76
Bahrain,Football (soccer),,26,50.55
Bangladesh,Cricket,,24,90
Barbados,Football (soccer),,13.1667,-59.5333
Belarus,Football (soccer),,53,28
Belgium,Football (soccer),,50.8333,4
Bhutan,Archery,,27.5,90.5
Bolivia,Football (soccer),,-17,-65
Bosnia and Herzegovina,Football (soccer),,44,18
Botswana,Football (soccer),,-22,24
Brazil,Football (soccer),2,-10,-55
Brunei,Football (soccer),,4.5,114.6667
Bulgaria,Football (soccer),,43,25
Burkina Faso,Football (soccer),,13,-2
Burundi,Football (soccer),,-3.5,30
Cambodia,Football (soccer),,13,105
Cameroon,Football (soccer),,6,12
Canada,Ice Hockey,,60,-95
Cape Verde,Football (soccer),,16,-24
Central African Republic,Football (soccer),,7,21
Chad,Football (soccer),,15,19
Chile,Football (soccer),1,-30,-71
China,Football (soccer),,35,105
Colombia,Football (soccer),,4,-72
Comoros,Football (soccer),,-12.1667,44.25
Costa Rica,Football (soccer),,10,-84
Croatia,Football (soccer),,45.1667,15.5
Cuba,Baseball,,21.5,-80
Cyprus,Football (soccer),,35,33
Czech Republic,Football (soccer),,49.75,15.5
Denmark,Football (soccer),,56,10
Djibouti,Football (soccer),,11.5,43
Dominican Republic,Baseball,,19,-70.6667
DR Congo,Football (soccer),,0,25
Ecuador,Football (soccer),,-2,-77.5
Egypt,Football (soccer),,27,30
El Salvador,Football (soccer),,13.8333,-88.9167
Equatorial Guinea,Football (soccer),,2,10
Eritrea,Football (soccer),,15,39
Estonia,Ice Hockey,,59,26
Eswatini,Football (soccer),,,
Ethiopia,Football (soccer),,8,38
Fiji,Rugby,,-18,175
Finland,Ice Hockey,,64,26
France,Football (soccer),2,46,2
French Guiana,Football (soccer),,4,-53
Gabon,Football (soccer),,-1,11.75
Gambia,Football (soccer),,13.4667,-16.5667
Georgia,Football (soccer),,42,43.5
Germany,Football (soccer),2,51,9
Ghana,Football (soccer),,8,-2
Gibraltar,Football (soccer),,36.1833,-5.3667
Greece,Football (soccer),,39,22
Grenada,Football (soccer),,12.1167,-61.6667
Guadeloupe,Football (soccer),,16.25,-61.5833
Guatemala,Football (soccer),,15.5,-90.25
Guinea,Football (soccer),,11,-10
Guyana,Cricket,,5,-59
Haiti,Football (soccer),,19,-72.4167
Honduras,Football (soccer),,15,-86.5
Hong Kong,Football (soccer),,22.25,114.1667
Hungary,Football (soccer),,47,20
Iceland,Football (soccer),,65,-18
India,Cricket,,20,77
Indonesia,Football (soccer),,-5,120
Iran,Football (soccer),,32,53
Iraq,Football (soccer),,33,44
Ireland,Gaelic Football,,53,-8
Israel,Football (soccer),,31.5,34.75
Italy,Football (soccer),2,42.8333,12.8333
Ivory Coast,Football (soccer),,8,-5
Jamaica,Football (soccer),,18.25,-77.5
Japan,Baseball,1,36,138
Jordan,Football (soccer),,31,36
Kazakhstan,Football (soccer),,48,68
Kenya,Football (soccer),,1,38
Kiribati,Football (soccer),,1.4167,173
Kuwait,Football (soccer),,29.3375,47.6581
Kyrgyzstan,Football (soccer),,41,75
Laos,Football (soccer),,18,105
Latvia,Ice Hockey,,57,25
Lebanon,Football (soccer),,33.8333,35.8333
Lesotho,Football (soccer),,-29.5,28.5
Liberia,Football (soccer),,6.5,-9.5
Libya,Football (soccer),,25,17
Lithuania,Basketball,,56,24
Luxembourg,Football (soccer),,49.75,6.1667
Madagascar,Football (soccer),,-20,47
Malawi,Football (soccer),,-13.5,34
Malaysia,Football (soccer),,2.5,112.5
Maldives,Football (soccer),,3.25,73
Mali,Football (soccer),,17,-4
Malta,Football (soccer),,35.8333,14.5833
Marshall Islands,Basketball,,9,168
Martinique,Football (soccer),,14.6667,-61
Mauritania,Football (soccer),,20,-12
Mauritius,Football (soccer),,-20.2833,57.55
Mexico,Football (soccer),2,23,-102
Micronesia,Football (soccer),,6.9167,158.25
Moldova,Football (soccer),,47,29
Monaco,Football (soccer),,43.7333,7.4
Mongolia,Mongolian Wrestling,,46,105
Montenegro,Football (soccer),,42,19
Morocco,Football (soccer),,32,-5
Mozambique,Football (soccer),,-18.25,35
Myanmar,Football (soccer),,22,98
Namibia,Football (soccer),,-22,17
Nauru,Australian Football,,-0.5333,166.9167
Nepal,Football (soccer),,28,84
Netherlands,Football (soccer),,52.5,5.75
New Caledonia,Football (soccer),,-21.5,165.5
New Zealand,Rugby,,-41,174
Nicaragua,Baseball,,13,-85
Niger,Football (soccer),,16,8
Nigeria,Football (soccer),,10,8
North Korea,Football (soccer),,40,127
North Macedonia,Football (soccer),,41.8333,22
Norway,Football (soccer),,62,10
Oman,Football (soccer),,21,57
Pakistan,Cricket,,30,70
Palau,Football (soccer),,7.5,134.5
Palestine,Football (soccer),,32,35.25
Panama,Baseball,,9,-80
Papua New Guinea,Football (soccer),,-6,147
Paraguay,Football (soccer),,-23,-58
Peru,Football (soccer),,-10,-76
Philippines,Basketball,,13,122
Poland,Football (soccer),,52,20
Portugal,Football (soccer),,39.5,-8
Puerto Rico,Basketball,,18.25,-66.5
Qatar,Football (soccer),1,25.5,51.25
Republic of the Congo,Football (soccer),,,
Romania,Football (soccer),,46,25
Russia,Football (soccer),1,60,100
Rwanda,Football (soccer),,-2,30
Saint Kitts and Nevis,Football (soccer),,17.3333,-62.75
Saint Lucia,Football (soccer),,13.8833,-61.1333
Saint Vincent and the Grenadines,Football (soccer),,,
Samoa,Rugby,,-13.5833,-172.3333
San Marino,Football (soccer),,43.7667,12.4167
Sao Tome and Principe,Football (soccer),,1,7
Saudi Arabia,Football (soccer),,25,45
Senegal,Football (soccer),,14,-14
Serbia,Football (soccer),,44,21
Seychelles,Football (soccer),,-4.5833,55.6667
Sierra Leone,Football (soccer),,8.5,-11.5
Singapore,Football (soccer),,1.3667,103.8
Slovakia,Football (soccer),,48.6667,19.5
Slovenia,Football (soccer),,46,15
Solomon Islands,Football (soccer),,-8,159
Somalia,Football (soccer),,10,49
South Africa,Football (soccer),1,-29,24
South Korea,Football (soccer),1,37,127.5
South Sudan,Football (soccer),,8,30
Spain,Football (soccer),1,40,-4
Sri Lanka,Cricket,,7,81
Sudan,Football (soccer),,15,30
Suriname,Football (soccer),,4,-56
Sweden,Football (soccer),1,62,15
Switzerland,Football (soccer),1,47,8
Syria,Football (soccer),,35,38
Taiwan,Baseball,,23.5,121
Tajikistan,Football (soccer),,39,71
Tanzania,Football (soccer),,-6,35
Thailand,Football (soccer),,15,100
Timor-Leste,Football (soccer),,-8.55,125.5167
Togo,Football (soccer),,8,1.1667
Tonga,Rugby,,-20,-175
Trinidad and Tobago,Cricket,,11,-61
Tunisia,Football (soccer),,34,9
Turkey,Football (soccer),,39,35
Turkmenistan,Football (soccer),,40,60
Tuvalu,Football (soccer),,-8,178
Uganda,Football (soccer),,1,32
Ukraine,Football (soccer),,49,32
United Arab Emirates,Football (soccer),,24,54
United Kingdom,Football (soccer),1,54,-2
United States,American Football (NFL),1,38,-97
Uruguay,Football (soccer),1,-33,-56
Uzbekistan,Football (soccer),,41,64
Vanuatu,Football (soccer),,-16,167
Venezuela,Baseball,,8,-66
Vietnam,Football (soccer),,16,106
Wallis and Futuna,Football (soccer),,-13.3,-176.2
Yemen,Football (soccer),,15,48
Zambia,Football (soccer),,-15,30
Zimbabwe,Football (soccer),,-20,30
