date,t,mixedt,anyothert,asiant,blackt,whitet,notwhitet,tp,mixedp,anyotherp,asianp,blackp,whitep,notwhitep
01/01/2011,"485,858","3,784","2,514","14,718","8,843","435,394",50464,1.00,0.008,0.005,0.032,0.019,0.936,0.064
01/01/2012,"483,486","4,058","2,366","14,843","8,566","431,830",51656,1.00,0.009,0.005,0.032,0.019,0.935,0.065
01/01/2013,"490,086","4,391","2,370","15,739","8,737","437,127",52959,1.00,0.009,0.005,0.034,0.019,0.933,0.067
01/01/2014,"494,641","4,849","2,434","16,500","9,067","437,709",56932,1.00,0.010,0.005,0.035,0.019,0.930,0.069
01/01/2015,"500,658","5,183","2,537","17,469","9,376","441,007",59651,1.00,0.011,0.005,0.037,0.020,0.927,0.073
01/01/2016,"503,120","5,459","2,447","18,437","9,683","437,009",66111,1.00,0.012,0.005,0.039,0.021,0.924,0.077
01/01/2017,"504,013","5,814","2,588","19,469","10,072","434,627",69386,1.00,0.012,0.006,0.041,0.021,0.920,0.080
01/01/2018,"498,221","5,999","2,632","19,981","10,199","426,731",71490,1.00,0.013,0.006,0.043,0.022,0.917,0.084
01/01/2019,"499,952","6,246","2,717","20,919","10,309","424,490",75462,1.00,0.013,0.006,0.045,0.022,0.914,0.086
01/01/2020,"500,774","6,470","2,783","21,541","10,591","420,557",80217,1.00,0.014,0.006,0.047,0.023,0.910,0.090
01/01/2021,"508,097","6,906","2,836","22,629","11,196","423,584",84513,1.00,0.015,0.006,0.048,0.024,0.907,0.093
01/01/2022,"512,077","7,292","2,898","23,631","11,371","420,993",91084,1.00,0.016,0.006,0.051,0.024,0.903,0.097
01/01/2023,"513,975","7,759","4,027","24,514","11,694","416,840",97135,1.00,0.017,0.009,0.053,0.025,0.897,0.104
01/01/2024,"513,878","8,055","4,134","25,361","12,276","410,932",102946,1.00,0.018,0.009,0.055,0.027,0.892,0.109
