country,year,value
JapanKorea,-5,8126000
JapanKorea,-4,8356000
JapanKorea,-3,9098000
JapanKorea,-2,10079000
JapanKorea,-1,9919000
JapanKorea,0,10586000
JapanKorea,1,9965000
JapanKorea,2,11956000
JapanKorea,3,12751000
JapanKorea,4,13489000
JapanKorea,5,14795000
Germany,-5,17861000
Germany,-4,17969000
Germany,-3,18399000
Germany,-2,20137000
Germany,-1,21500000
Germany,0,23569000
Germany,1,24421000
Germany,2,24884000
Germany,3,24220000
Germany,4,26875000
Germany,5,28374000
SouthAfrica,-5,7518000
SouthAfrica,-4,8509000
SouthAfrica,-3,9208000
SouthAfrica,-2,9729000
SouthAfrica,-1,9532000
SouthAfrica,0,11303000
SouthAfrica,1,12097000
SouthAfrica,2,13069000
SouthAfrica,3,14318000
SouthAfrica,4,14530000
SouthAfrica,5,13952000
Brazil,-5,4802000
Brazil,-4,5161000
Brazil,-3,5433000
Brazil,-2,5677000
Brazil,-1,5813000
Brazil,0,6430000
Brazil,1,6306000
Brazil,2,6547000
Brazil,3,6589000
Brazil,4,6621000
Brazil,5,6353000
Russia,-5,30792000
Russia,-4,32421000
Russia,-3,33729000
Russia,-2,24571000
Russia,-1,24390000
Russia,0,24551000
Russia,1,24419000
Russia,2,6359000
