Team,Part,ppg,GDPPC
Brazil,22,2.1666666666666665,10296.412
Germany,20,2.008928571428572,55521.345
Argentina,18,1.7954545454545454,12814.444
Italy,18,1.879518072289157,40286.836
France,16,1.7945205479452055,48011.828
Spain,16,1.6417910447761197,35788.734
Netherlands,11,1.8909090909090909,67984.285
Uruguay,14,1.4915254237288136,23053.261
Belgium,14,1.431372549019608,56128.791
Sweden,12,1.3725490196078431,57212.541
Russia,11,1.488888888888889,14952.904
Mexico,17,1.1,13971.898
Serbia,13,1.2857142857142858,12513.826
Portugal,8,1.6285714285714286,29341.17
Poland,9,1.5,23563.217
Switzerland,12,1.2195121951219512,106097.643
Hungary,9,1.5,23881.429
Croatia,6,1.5666666666666669,23380.437
Czech Republic,9,1.2424242424242424,31365.509
Austria,7,1.3793103448275863,58668.601
Chile,9,1.2121212121212122,16365.296
United States,11,0.945945945945946,86601.28
Denmark,6,1.434782608695652,69273.048
Paraguay,8,1.148148148148148,5869.329
South Korea,11,0.8157894736842105,36131.846
Colombia,6,1.3636363636363635,7917.244
Romania,7,1.380952380952381,20088.859
Japan,7,1.08,32859.112
Costa Rica,6,1.0952380952380951,17860.414
Cameroon,8,0.8846153846153846,1821.317
Morocco,6,0.9565217391304348,4203.553
Nigeria,6,1.0,877.073
Senegal,3,1.5,1805.139
Ghana,4,1.2,2231.793
Peru,5,1.0,8315.915
Ecuador,4,1.3076923076923077,6758.373
Bulgaria,7,0.6538461538461539,17069.33
Australia,6,0.8,65965.622
Tunisia,6,0.7777777777777778,4266.985
Saudi Arabia,6,0.7368421052631579,32881.339
Iran,6,0.7222222222222222,5012.844
Algeria,4,0.9230769230769232,5579.128
Ivory Coast,3,1.1111111111111112,2719.971
South Africa,3,1.1111111111111112,6377.068
Norway,3,1.125,90433.666
Greece,3,0.8,24341.505
Ukraine,1,1.4,5504.886
Slovakia,1,1.0,26290.363
Slovenia,2,0.6666666666666666,34544.168
Bosnia and Herzegovina,1,1.0,8220.816
Jamaica,1,1.0,7486.621
New Zealand,2,0.5,47072.425
Honduras,3,0.3333333333333333,3446.298
Angola,1,0.6666666666666666,2961.34
Israel,1,0.6666666666666666,53110.949
Egypt,3,0.2857142857142857,3541.75
Iceland,1,0.3333333333333333,85786.894
Kuwait,1,0.3333333333333333,32289.977
Trinidad and Tobago,1,0.3333333333333333,19703.041
Bolivia,3,0.1666666666666666,3919.602
Iraq,1,0.0,5947.315
Togo,1,0.0,1051.216
Qatar,1,0.0,71568.394
Indonesia,1,0.0,4980.722
Panama,1,0.0,19369.476
United Arab Emirates,1,0.0,49549.588
China,1,0.0,12968.567
Canada,2,0.0,53834.483
Haiti,1,0.0,2120.413
DR Congo,1,0.0,702.373
El Salvador,2,0.0,5606.972
